Commodity,Attribute,Country,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
,,Cameroon,10,9,10,13.0,9.0,14.0,11.0,12.0,15,18,22,22,16,22,15,16,18,16,19,21,19,23,14,21,20,20,20,20,20.0,20.0,20.0,20.0,20.0,23.0,24.0,29.0,25.0,26.0,29.0,30.0,30.0,30.0,30.0,31.0,31.0,39.0,38.0,39.0,40.0,53.0,60.0,64.0,62.0,62.0,69.0,64.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,(1000 MT)
,,Canada,0,0,0,5.0,4.0,6.0,6.0,7.0,5,5,6,6,4,5,10,7,7,9,9,9,11,10,10,11,11,10,20,20,15.0,16.0,17.0,13.0,14.0,14.0,11.0,14.0,9.0,7.0,9.0,9.0,8.0,10.0,10.0,15.0,21.0,21.0,40.0,28.0,17.0,9.0,6.0,6.0,8.0,7.0,8.0,14.0,10.0,16.0,14.0,14.0,16.0,15.0,15.0,(1000 MT)
,,China,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,1,8,15.0,15.0,15.0,15.0,15.0,15.0,10.0,7.0,9.0,15.0,19.0,103.0,97.0,139.0,150.0,225.0,247.0,391.0,369.0,451.0,438.0,421.0,476.0,620.0,495.0,578.0,560.0,595.0,701.0,890.0,783.0,638.0,523.0,747.0,750.0,(1000 MT)
,,Colombia,0,0,0,0.0,1.0,1.0,1.0,2.0,3,4,4,5,4,6,5,6,8,7,8,8,8,10,11,11,14,14,17,20,20.0,20.0,23.0,24.0,25.0,15.0,32.0,37.0,41.0,44.0,45.0,53.0,49.0,53.0,64.0,71.0,69.0,73.0,80.0,73.0,78.0,83.0,89.0,99.0,110.0,114.0,121.0,140.0,162.0,167.0,155.0,155.0,155.0,156.0,160.0,(1000 MT)
,,Congo (Kinshasa),0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,15.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,15.0,19.0,19.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,(1000 MT)
,,Costa Rica,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,6.0,7.0,8.0,9.0,9.0,10.0,10.0,11.0,12.0,13.0,13.0,12.0,14.0,16.0,17.0,17.0,18.0,17.0,19.0,21.0,18.0,33.0,27.0,23.0,26.0,25.0,28.0,29.0,29.0,36.0,50.0,53.0,51.0,(1000 MT)
,,Cote d'Ivoire,1,3,1,0.0,6.0,6.0,6.0,9.0,3,0,0,0,0,2,3,6,11,13,17,12,13,13,15,18,19,18,16,14,12.0,14.0,19.0,21.0,21.0,19.0,21.0,23.0,22.0,24.0,22.0,20.0,19.0,21.0,23.0,24.0,31.0,47.0,51.0,31.0,33.0,39.0,42.0,46.0,45.0,42.0,42.0,46.0,54.0,55.0,55.0,63.0,65.0,67.0,66.0,(1000 MT)
,,Denmark,0,0,0,6.0,8.0,4.0,9.0,10.0,8,11,7,8,11,8,9,13,11,10,15,21,16,16,18,19,20,22,21,19,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Dominican Republic,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Ecuador,0,0,0,0.0,0.0,0.0,4.0,2.0,2,1,1,1,5,2,12,3,3,6,4,5,6,6,5,6,8,8,6,6,10.0,11.0,12.0,12.0,13.0,15.0,14.0,15.0,17.0,19.0,18.0,18.0,21.0,21.0,23.0,29.0,27.0,43.0,47.0,48.0,47.0,61.0,56.0,56.0,47.0,62.0,64.0,60.0,60.0,58.0,54.0,55.0,51.0,52.0,54.0,(1000 MT)
,,EU-15,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,358.0,427.0,422.0,349.0,423.0,436.0,422.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,European Union,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,502.0,667.0,667.0,704.0,700.0,654.0,678.0,692.0,713.0,630.0,608.0,624.0,728.0,724.0,767.0,810.0,850.0,837.0,809.0,822.0,820.0,713.0,688.0,693.0,(1000 MT)
,,France,0,0,0,36.0,29.0,29.0,27.0,28.0,38,39,40,31,25,30,21,23,20,20,23,14,37,38,17,14,22,23,29,22,24.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
