Commodity,Attribute,Country,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
,,Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,9.0,10.0,18.0,24.0,18.0,13.0,12.0,11.0,31.0,31.0,40.0,40.0,40.0,43.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,51.0,56.0,59.0,(1000 MT)
,,Nigeria,11.0,89.0,140.0,144.0,119.0,112.0,124.0,104.0,69.0,56.0,54.0,68.0,75.0,35.0,33.0,29.0,29.0,70.0,37.0,46.0,47.0,40.0,37.0,47.0,42.0,123.0,140.0,145.0,243.0,226.0,235.0,245.0,263.0,263.0,243.0,236.0,236.0,243.0,280.0,280.0,278.0,230.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,(1000 MT)
,,Philippines,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Senegal,38.0,40.0,38.0,35.0,34.0,35.0,55.0,56.0,48.0,19.0,25.0,12.0,14.0,6.0,50.0,44.0,45.0,45.0,48.0,43.0,34.0,35.0,18.0,26.0,14.0,8.0,6.0,5.0,4.0,4.0,5.0,8.0,9.0,5.0,6.0,8.0,10.0,23.0,45.0,14.0,8.0,8.0,8.0,3.0,8.0,10.0,10.0,10.0,11.0,12.0,13.0,14.0,(1000 MT)
,,South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,11.0,19.0,5.0,6.0,6.0,7.0,7.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,(1000 MT)
,,Spain,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Sudan,29.0,70.0,84.0,91.0,79.0,92.0,151.0,134.0,105.0,118.0,60.0,41.0,52.0,35.0,58.0,55.0,55.0,61.0,44.0,61.0,61.0,44.0,44.0,38.0,36.0,34.0,26.0,22.0,157.0,154.0,149.0,149.0,103.0,67.0,82.0,75.0,105.0,150.0,145.0,146.0,148.0,178.0,190.0,194.0,195.0,200.0,245.0,245.0,245.0,270.0,250.0,220.0,(1000 MT)
,,Sweden,4.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Switzerland,37.0,27.0,28.0,25.0,27.0,24.0,32.0,27.0,15.0,20.0,18.0,16.0,17.0,19.0,23.0,19.0,18.0,17.0,15.0,15.0,17.0,15.0,16.0,14.0,15.0,17.0,14.0,13.0,14.0,12.0,10.0,8.0,7.0,9.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,8.0,4.0,3.0,5.0,4.0,5.0,(1000 MT)
,,Taiwan,11.0,11.0,11.0,12.0,10.0,9.0,9.0,8.0,8.0,7.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,6.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,8.0,8.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,(1000 MT)
